listing_id;listing_name;listing_type;room_type;cover_photo_url;photos_count;host_id;host_name;cohost_ids;cohost_names;superhost;latitude;longitude;guests;bedrooms;beds;baths;registration;amenities;instant_book;professional_management;min_nights;cancellation_policy;currency;cleaning_fee;extra_guest_fee;num_reviews;rating_overall;rating_accuracy;rating_checkin;rating_cleanliness;rating_communication;rating_location;rating_value;ttm_revenue;ttm_revenue_native;ttm_avg_rate;ttm_avg_rate_native;ttm_occupancy;ttm_adjusted_occupancy;ttm_revpar;ttm_revpar_native;ttm_adjusted_revpar;ttm_adjusted_revpar_native;ttm_reserved_days;ttm_blocked_days;ttm_available_days;ttm_total_days;l90d_revenue;l90d_revenue_native;l90d_avg_rate;l90d_avg_rate_native;l90d_occupancy;l90d_adjusted_occupancy;l90d_revpar;l90d_revpar_native;l90d_adjusted_revpar;l90d_adjusted_revpar_native;l90d_reserved_days;l90d_blocked_days;l90d_available_days;l90d_total_days
14278;FX Sudirman 28;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/hosting/Hosting-14278/original/ec29dc83-0f49-4df2-961e-672354d253ac.jpeg;22;56048;Rieneke;;;TRUE;-62.240;1.068.031;4;2;3;2.0;FALSE;TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Refrigerator,Dishes and silverware,Washer,Dryer,Smoke alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron;FALSE;FALSE;2;Firm;IDR;0;0;4;5.0;5.0;4.5;4.8;4.8;4.5;4.0;7771.0;1,23E+16;133.7;2171985.2;0.159;0.169;21.3;337802.2;22.7;359468.8;58;22;307;365;1605.0;2,63E+14;134.0;2193587.7;0.133;0.0;17.8;291908.5;0.0;0.0;12;0;78;90
949976;Serviced City Loft South Jakarta;Private room in rental unit;private_room;https://a0.muscache.com/im/pictures/miso/Hosting-949976/original/6eb3bdd7-aedf-45a4-a7ef-e095bf07b9e2.jpeg;7;5152933;Jeffry;;;FALSE;-62.671;1.068.077;2;1;1;1.0;FALSE;High chair,TV,Washer,Cable TV,Wifi,Air conditioning,Fire extinguisher,Kitchen,Free parking on premises,Hangers,Dedicated workspace,Refrigerator,Dishes and silverware;FALSE;FALSE;3;Strict;IDR;0;0;15;4.71;4.4;4.7;4.3;4.7;4.7;4.7;553.0;8450393.0;24.1;391240.1;0.066;0.149;1.5;23151.8;3.4;52486.9;24;204;341;365;0.0;0.0;25.6;419220.8;0.0;0.0;0.0;0.0;0.0;0.0;0;90;90;90
967331;Cozy 2BR @Kebagusan City, South Jakarta;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/cb6286af-f20d-4470-90dc-56cd3b6c7a33.jpg;24;5277334;Widi;;;FALSE;-63.066;1.068.382;5;2;3;1.0;FALSE;TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Elevator,Microwave,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron;FALSE;;25;Moderate;IDR;12;0;14;4.5;4.5;4.5;4.3;4.4;4.6;4.6;187.0;3048163.0;13.7;222613.9;0.038;0.043;0.5;8351.1;0.6;9379.0;14;40;351;365;0.0;0.0;19.7;322827.1;0.0;0.0;0.0;0.0;0.0;0.0;0;0;90;90
978796;Cozy 1BR Unit @Kuningan City in South Jakarta;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/35941368/b1695946_original.jpg;17;5277334;Widi;;;FALSE;-62.251;1.068.303;2;1;1;1.5;FALSE;TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Gym,Mini fridge,Elevator,Cleaning products,Indoor fireplace,Drying rack for clothing,Paid parking on premises,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Rice maker,High chair,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table;FALSE;;25;Moderate;IDR;0;0;18;4.72;4.8;4.4;4.8;4.6;4.7;4.6;297.0;4861508.0;26.4;428340.9;0.033;0.044;0.8;13319.2;1.1;17807.7;12;92;353;365;0.0;0.0;25.4;416128.8;0.0;0.0;0.0;0.0;0.0;0.0;0;0;90;90
980882;New York - New York Penthouse;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/15546892/37bc89b7_original.jpg;18;5297796;Cyrille;;;FALSE;-62.044;1.068.267;2;1;1;1.5;FALSE;TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Patio or balcony,Air conditioning,Pool,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware;FALSE;;5;Strict;IDR;0;0;12;5.0;4.9;5.0;4.8;5.0;4.9;4.8;1682.0;2,73E+14;89.7;1456842.0;0.052;0.0;4.6;74835.1;0.0;0.0;19;0;346;365;172.0;2815416.0;90.2;1477002.3;0.022;0.0;1.9;31282.4;0.0;0.0;2;0;88;90
985694;Serviced City Studio South Jakarta;Private room in rental unit;private_room;https://a0.muscache.com/im/pictures/airflow/Hosting-985694/original/0c526443-f3cd-4f2d-afcb-567b0bb82e4b.jpg;21;5152933;Jeffry;;;FALSE;-62.670;1.068.064;;;1;0.0;FALSE;TV,Washer,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Kitchen,Free parking on premises,Lock on bedroom door,Hangers,Dedicated workspace,Microwave,Refrigerator;FALSE;FALSE;2;Firm;IDR;0;0;37;4.78;4.8;4.9;4.6;4.8;4.7;4.8;535.0;8852098.0;18.4;299287.2;0.082;0.171;1.5;24252.3;3.1;50583.4;30;190;335;365;0.0;0.0;19.3;316097.6;0.0;0.0;0.0;0.0;0.0;0.0;0;38;90;90
1035842;Ideal for long stays and business trips in Jakarta;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/627a4420-1d80-4105-88a9-a6e388bf3111.jpg;31;5701892;Noviandry;;;FALSE;-62.265;1.068.197;2;1;2;1.0;FALSE;TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Hot water,Gym,Mini fridge,Elevator,Bed linens,Laundromat nearby,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Paid parking on premises,Clothing storage,Stove,Washer,Single level home,Smoke alarm,Exercise equipment,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Safe,Cleaning before checkout,Children's playroom,Hangers,Dining table,Outdoor playground,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker;FALSE;FALSE;15;Firm;IDR;0;0;58;4.6;4.8;5.0;4.4;4.9;4.8;4.7;2940.0;4,73E+14;18.3;296914.8;0.444;0.47;8.1;129678.5;8.5;137196.1;162;20;203;365;284.0;4648713.0;19.9;325191.5;0.156;0.2;3.2;51652.4;4.1;66410.2;14;20;76;90
1241951;Jakarta's Central Business Location;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/109214768/29f509c2_original.jpg;21;3910209;Dadas;;;FALSE;-62.263;1.068.194;2;;1;1.0;FALSE;TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Pool,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Iron,Gym,Elevator,Refrigerator,Dishes and silverware;FALSE;;10;Moderate;IDR;40;0;11;4.73;4.8;4.9;4.6;4.9;4.6;4.8;717.0;1,15E+14;56.6;919439.0;0.036;0.0;2.0;31567.7;0.0;0.0;13;0;352;365;0.0;0.0;52.5;859356.6;0.0;0.0;0.0;0.0;0.0;0.0;0;0;90;90
1272109;Green Palace, Kalibata City, Raffles Tower R07AC;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/6ae26db3-1ff6-4d1b-b0b5-d841728febf3.jpg;25;6923541;Rudy;;;TRUE;-62.566;1.068.572;4;2;3;1.0;FALSE;TV,Wifi,Air conditioning,Pool,Kitchen,Movie theater,Hot water,Gym,Resort access,Elevator,Bed linens,Extra pillows and blankets,Pocket wifi,Refrigerator,Dishes and silverware,Cooking basics,Smoke alarm,Patio or balcony,First aid kit,Backyard,Essentials,Shampoo,Hangers,Outdoor playground,Iron,Dedicated workspace;TRUE;FALSE;1;Flexible;IDR;0;0;163;4.81;4.8;4.9;4.7;4.9;4.8;4.8;2108.0;3,44E+14;20.5;334022.2;0.274;0.0;5.8;94278.9;0.0;0.0;100;0;265;365;793.0;1,30E+14;21.6;353382.0;0.4;0.0;8.8;144226.4;0.0;0.0;36;0;54;90
1373421;Most Strategic in CBD Sudirman & Easy Stay;Entire rental unit;entire_home;https://a0.muscache.com/im/pictures/49412701/ee0d6c90_original.jpg;13;2194823;Ronni;;;FALSE;-62.052;1.068.170;2;;1;1.0;FALSE;TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Gym,Mini fridge,Elevator,Laundromat nearby,Microwave,Paid parking on premises,Stove,Washer,Smoke alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Rice maker;FALSE;FALSE;2;Firm;IDR;8;9;84;4.38;4.5;4.6;4.1;4.7;4.6;4.3;1416.0;2,28E+14;24.4;396372.1;0.164;0.239;3.9;62447.5;5.6;90810.1;60;114;305;365;270.0;4419551.0;26.5;433588.8;0.111;0.0;3.0;49106.1;0.0;0.0;10;0;80;90
